designator,pin,x_mm,y_mm,width_mm,height_mm,rotation_deg,shape,net,side,footprint,value
R12,1,10.500,20.000,0.90,1.00,0,rect,VCC,top,R_0603,10k
R12,2,12.100,20.000,0.90,1.00,0,rect,NET7,top,R_0603,10k
C7,1,30.000,14.200,0.60,0.70,0,rect,VCC,top,C_0402,100n
C7,2,30.000,15.800,0.60,0.70,0,rect,GND,top,C_0402,100n
U3,1,28.730,18.905,0.30,1.20,0,rect,SDA,top,SOIC-8,PCA9548
U3,2,29.000,18.905,0.30,1.20,0,rect,SCL,top,SOIC-8,PCA9548
U3,3,29.270,18.905,0.30,1.20,0,rect,GND,top,SOIC-8,PCA9548
U3,4,29.540,18.905,0.30,1.20,0,rect,VCC,top,SOIC-8,PCA9548
U3,5,29.540,21.095,0.30,1.20,0,rect,A0,top,SOIC-8,PCA9548
U3,6,29.270,21.095,0.30,1.20,0,rect,A1,top,SOIC-8,PCA9548
U3,7,29.000,21.095,0.30,1.20,0,rect,A2,top,SOIC-8,PCA9548
U3,8,28.730,21.095,0.30,1.20,0,rect,RST,top,SOIC-8,PCA9548
