crop_path,component_class,dataset_source,scene_id,crop_w,crop_h,body_x,body_y,body_w,body_h,roi_kind,label_status,reviewer_id,notes
pcb14__rec1__1024__2304___1536.png,tile ~52 linh kiện,tiles_1024,pcb14__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_014__rec1__1024__2304___1536.png,tile ~52 linh kiện,tiles_1024,pcb_dslr_014__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb14__rec1__1024__2304___768.png,tile ~43 linh kiện,tiles_1024,pcb14__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_014__rec1__1024__2304___768.png,tile ~43 linh kiện,tiles_1024,pcb_dslr_014__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb3__rec1__1024__2304___768.png,tile ~33 linh kiện,tiles_1024,pcb3__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb7__rec1__1024__2304___768.png,tile ~33 linh kiện,tiles_1024,pcb7__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_003__rec1__1024__2304___768.png,tile ~33 linh kiện,tiles_1024,pcb_dslr_003__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_007__rec1__1024__2304___768.png,tile ~33 linh kiện,tiles_1024,pcb_dslr_007__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb33__rec1__1024__1536___1536.png,tile ~30 linh kiện,tiles_1024,pcb33__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb7__rec1__1024__2304___1536.png,tile ~30 linh kiện,tiles_1024,pcb7__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_007__rec1__1024__2304___1536.png,tile ~30 linh kiện,tiles_1024,pcb_dslr_007__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb13__rec1__1024__2304___1536.png,tile ~26 linh kiện,tiles_1024,pcb13__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb7__rec1__1024__1536___768.png,tile ~26 linh kiện,tiles_1024,pcb7__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_007__rec1__1024__1536___768.png,tile ~26 linh kiện,tiles_1024,pcb_dslr_007__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_013__rec1__1024__2304___1536.png,tile ~26 linh kiện,tiles_1024,pcb_dslr_013__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb11__rec1__1024__1536___1536.png,tile ~25 linh kiện,tiles_1024,pcb11__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb11__rec1__1024__2304___1536.png,tile ~25 linh kiện,tiles_1024,pcb11__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb13__rec1__1024__1536___1536.png,tile ~25 linh kiện,tiles_1024,pcb13__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb32__rec1__1024__3072___1536.png,tile ~25 linh kiện,tiles_1024,pcb32__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb33__rec1__1024__2304___1536.png,tile ~25 linh kiện,tiles_1024,pcb33__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_011__rec1__1024__1536___1536.png,tile ~25 linh kiện,tiles_1024,pcb_dslr_011__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_011__rec1__1024__2304___1536.png,tile ~25 linh kiện,tiles_1024,pcb_dslr_011__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_013__rec1__1024__1536___1536.png,tile ~25 linh kiện,tiles_1024,pcb_dslr_013__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb11__rec1__1024__1536___768.png,tile ~24 linh kiện,tiles_1024,pcb11__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb11__rec1__1024__2304___768.png,tile ~24 linh kiện,tiles_1024,pcb11__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb31__rec1__1024__1536___1536.png,tile ~24 linh kiện,tiles_1024,pcb31__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb7__rec1__1024__3072___1536.png,tile ~24 linh kiện,tiles_1024,pcb7__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb8__rec1__1024__2304___768.png,tile ~24 linh kiện,tiles_1024,pcb8__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_007__rec1__1024__3072___1536.png,tile ~24 linh kiện,tiles_1024,pcb_dslr_007__rec1,1024,1024,0,0,0,0,board_tile,,,
