crop_path,component_class,dataset_source,scene_id,crop_w,crop_h,body_x,body_y,body_w,body_h,roi_kind,label_status,reviewer_id,notes
pcb11__rec1__1024__1536___0.png,tile ~12 linh kiện,tiles_1024,pcb11__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb11__rec1__1024__2304___768.png,tile ~24 linh kiện,tiles_1024,pcb11__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb11__rec1__1024__1536___1536.png,tile ~25 linh kiện,tiles_1024,pcb11__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb11__rec1__1024__2304___1536.png,tile ~25 linh kiện,tiles_1024,pcb11__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb13__rec1__1024__1536___1536.png,tile ~25 linh kiện,tiles_1024,pcb13__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb13__rec1__1024__2304___1536.png,tile ~26 linh kiện,tiles_1024,pcb13__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb14__rec1__1024__2304___768.png,tile ~43 linh kiện,tiles_1024,pcb14__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb14__rec1__1024__2304___1536.png,tile ~52 linh kiện,tiles_1024,pcb14__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb15__rec1__1024__2304___1536.png,tile ~12 linh kiện,tiles_1024,pcb15__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb32__rec1__1024__3072___1536.png,tile ~25 linh kiện,tiles_1024,pcb32__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb33__rec1__1024__1536___1536.png,tile ~30 linh kiện,tiles_1024,pcb33__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb33__rec1__1024__2304___1536.png,tile ~25 linh kiện,tiles_1024,pcb33__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb3__rec1__1024__2304___768.png,tile ~33 linh kiện,tiles_1024,pcb3__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb7__rec1__1024__1536___768.png,tile ~26 linh kiện,tiles_1024,pcb7__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb7__rec1__1024__2304___768.png,tile ~33 linh kiện,tiles_1024,pcb7__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_007__rec1__1024__2304___1536.png,tile ~30 linh kiện,tiles_1024,pcb_dslr_007__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_001__rec1__1024__1536___768.png,tile ~20 linh kiện,tiles_1024,pcb_dslr_001__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_002__rec1__1024__2304___0.png,tile ~12 linh kiện,tiles_1024,pcb_dslr_002__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_006__rec1__1024__3072___768.png,tile ~9 linh kiện,tiles_1024,pcb_dslr_006__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_008__rec1__1024__1536___768.png,tile ~15 linh kiện,tiles_1024,pcb_dslr_008__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_009__rec1__1024__3072___768.png,tile ~10 linh kiện,tiles_1024,pcb_dslr_009__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_010__rec1__1024__2304___768.png,tile ~12 linh kiện,tiles_1024,pcb_dslr_010__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_012__rec1__1024__2304___768.png,tile ~16 linh kiện,tiles_1024,pcb_dslr_012__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_017__rec1__1024__2304___768.png,tile ~20 linh kiện,tiles_1024,pcb_dslr_017__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_019__rec1__1024__1536___768.png,tile ~7 linh kiện,tiles_1024,pcb_dslr_019__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_020__rec1__1024__1536___768.png,tile ~12 linh kiện,tiles_1024,pcb_dslr_020__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_022__rec1__1024__2304___768.png,tile ~18 linh kiện,tiles_1024,pcb_dslr_022__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_023__rec1__1024__2304___768.png,tile ~13 linh kiện,tiles_1024,pcb_dslr_023__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_024__rec1__1024__2304___768.png,tile ~8 linh kiện,tiles_1024,pcb_dslr_024__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_025__rec1__1024__2304___1536.png,tile ~6 linh kiện,tiles_1024,pcb_dslr_025__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_026__rec1__1024__3072___1536.png,tile ~14 linh kiện,tiles_1024,pcb_dslr_026__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_027__rec1__1024__1536___768.png,tile ~10 linh kiện,tiles_1024,pcb_dslr_027__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_028__rec1__1024__1536___1536.png,tile ~18 linh kiện,tiles_1024,pcb_dslr_028__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_029__rec1__1024__2304___1536.png,tile ~10 linh kiện,tiles_1024,pcb_dslr_029__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_030__rec1__1024__1536___1536.png,tile ~13 linh kiện,tiles_1024,pcb_dslr_030__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb31__rec1__1024__1536___1536.png,tile ~24 linh kiện,tiles_1024,pcb31__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb37__rec1__1024__2304___1536.png,tile ~10 linh kiện,tiles_1024,pcb37__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb38__rec1__1024__2304___1536.png,tile ~15 linh kiện,tiles_1024,pcb38__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_014__rec1__1024__1536___1536.png,tile ~23 linh kiện,tiles_1024,pcb_dslr_014__rec1,1024,1024,0,0,0,0,board_tile,,,
pcb_dslr_013__rec1__1024__1536___768.png,tile ~22 linh kiện,tiles_1024,pcb_dslr_013__rec1,1024,1024,0,0,0,0,board_tile,,,
