crop_path,dataset_source,source_image,scene_id,component_class,crop_w,crop_h,body_x,body_y,body_w,body_h,roi_kind,label_status,reviewer_id,notes
ACM-109_Bottom_jpg__061__Connector.png,fpic_rf100,train/images/ACM-109_Bottom_jpg.rf.2d62d1698c2625e82dc3f6c4a24e7e42.jpg,ACM-109_Bottom_jpg,Connector,516,116,47,0,417,89,component,,,
ACM-109_Bottom_jpg__062__Connector.png,fpic_rf100,train/images/ACM-109_Bottom_jpg.rf.2d62d1698c2625e82dc3f6c4a24e7e42.jpg,ACM-109_Bottom_jpg,Connector,516,108,45,25,416,82,component,,,
ACM-109_Top_jpg__007__IC.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,IC,111,134,21,25,69,84,component,,,
ACM-109_Top_jpg__015__IC.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,IC,108,149,20,28,68,93,component,,,
ACM-109_Top_jpg__021__Switch.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,Switch,91,161,17,30,57,101,component,,,
ACM-109_Top_jpg__022__Pads.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,Pads,138,140,26,26,86,88,component,,,
ACM-109_Top_jpg__028__IC.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,IC,313,315,59,59,195,197,component,,,
ACM-109_Top_jpg__032__Capacitor.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,Capacitor,79,120,15,22,49,75,component,,,
ACM-109_Top_jpg__040__IC.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,IC,77,92,13,17,49,58,component,,,
ACM-109_Top_jpg__058__Connector.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,Connector,108,282,21,53,71,176,component,,,
ACM-109_Top_jpg__061__Pads.png,fpic_rf100,train/images/ACM-109_Top_jpg.rf.bb8e27c1888a9f6ba7c61ffef6c1dd0e.jpg,ACM-109_Top_jpg,Pads,140,140,26,26,88,88,component,,,
ATTIOT_Bottom_jpg__000__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,1051,222,197,1,657,170,component,,,
ATTIOT_Bottom_jpg__002__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,881,228,165,0,551,175,component,,,
ATTIOT_Bottom_jpg__004__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,112,204,21,38,70,128,component,,,
ATTIOT_Bottom_jpg__005__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,112,202,21,38,70,126,component,,,
ATTIOT_Bottom_jpg__011__Diode.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Diode,86,133,16,25,54,83,component,,,
ATTIOT_Bottom_jpg__012__Diode.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Diode,85,129,16,24,53,81,component,,,
ATTIOT_Bottom_jpg__013__Diode.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Diode,84,132,16,25,52,82,component,,,
ATTIOT_Bottom_jpg__014__Diode.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Diode,91,136,17,26,57,85,component,,,
ATTIOT_Bottom_jpg__015__Jumper.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Jumper,139,216,26,40,87,135,component,,,
ATTIOT_Bottom_jpg__021__Clock.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Clock,136,138,25,26,85,86,component,,,
ATTIOT_Bottom_jpg__024__Button.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Button,191,133,36,25,119,83,component,,,
ATTIOT_Bottom_jpg__028__IC.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,IC,267,321,50,60,167,201,component,,,
ATTIOT_Bottom_jpg__029__Connector.png,fpic_rf100,test/images/ATTIOT_Bottom_jpg.rf.94cd89169043c7506cde7ced6de19680.jpg,ATTIOT_Bottom_jpg,Connector,252,416,47,78,158,260,component,,,
