crop_path,component_class,dataset_source,scene_id,crop_w,crop_h,body_x,body_y,body_w,body_h,roi_kind,label_status,reviewer_id,notes
back_side__1__1024__512___1024.png,tile ~16 linh kiện,tiles_1024,back_side__1,1024,1024,0,0,0,0,board_tile,,,
back_side__10__1024__512___1536.png,tile ~7 linh kiện,tiles_1024,back_side__10,1024,1024,0,0,0,0,board_tile,,,
back_side__11__1024__512___1024.png,tile ~42 linh kiện,tiles_1024,back_side__11,1024,1024,0,0,0,0,board_tile,,,
back_side__12__1024__0___1024.png,tile ~33 linh kiện,tiles_1024,back_side__12,1024,1024,0,0,0,0,board_tile,,,
back_side__2__1024__0___512.png,tile ~19 linh kiện,tiles_1024,back_side__2,1024,1024,0,0,0,0,board_tile,,,
back_side__3__1024__512___0.png,tile ~10 linh kiện,tiles_1024,back_side__3,1024,1024,0,0,0,0,board_tile,,,
back_side__4__1024__512___1536.png,tile ~8 linh kiện,tiles_1024,back_side__4,1024,1024,0,0,0,0,board_tile,,,
back_side__5__1024__512___1024.png,tile ~61 linh kiện,tiles_1024,back_side__5,1024,1024,0,0,0,0,board_tile,,,
back_side__6__1024__512___512.png,tile ~68 linh kiện,tiles_1024,back_side__6,1024,1024,0,0,0,0,board_tile,,,
back_side__7__1024__0___1536.png,tile ~45 linh kiện,tiles_1024,back_side__7,1024,1024,0,0,0,0,board_tile,,,
back_side__8__1024__512___0.png,tile ~38 linh kiện,tiles_1024,back_side__8,1024,1024,0,0,0,0,board_tile,,,
back_side__9__1024__0___1024.png,tile ~9 linh kiện,tiles_1024,back_side__9,1024,1024,0,0,0,0,board_tile,,,
back_side__whole_pcb__1024__512___0.png,tile ~23 linh kiện,tiles_1024,back_side__whole_pcb,1024,1024,0,0,0,0,board_tile,,,
front_side__1__1024__512___1024.png,tile ~32 linh kiện,tiles_1024,front_side__1,1024,1024,0,0,0,0,board_tile,,,
front_side__10__1024__512___1536.png,tile ~22 linh kiện,tiles_1024,front_side__10,1024,1024,0,0,0,0,board_tile,,,
front_side__11__1024__512___0.png,tile ~20 linh kiện,tiles_1024,front_side__11,1024,1024,0,0,0,0,board_tile,,,
front_side__12__1024__512___1536.png,tile ~23 linh kiện,tiles_1024,front_side__12,1024,1024,0,0,0,0,board_tile,,,
front_side__13__1024__512___1536.png,tile ~32 linh kiện,tiles_1024,front_side__13,1024,1024,0,0,0,0,board_tile,,,
front_side__14__1024__512___0.png,tile ~21 linh kiện,tiles_1024,front_side__14,1024,1024,0,0,0,0,board_tile,,,
front_side__15__1024__0___0.png,tile ~23 linh kiện,tiles_1024,front_side__15,1024,1024,0,0,0,0,board_tile,,,
front_side__2__1024__512___1024.png,tile ~31 linh kiện,tiles_1024,front_side__2,1024,1024,0,0,0,0,board_tile,,,
front_side__3__1024__512___512.png,tile ~10 linh kiện,tiles_1024,front_side__3,1024,1024,0,0,0,0,board_tile,,,
front_side__4__1024__0___1536.png,tile ~40 linh kiện,tiles_1024,front_side__4,1024,1024,0,0,0,0,board_tile,,,
front_side__5__1024__512___512.png,tile ~24 linh kiện,tiles_1024,front_side__5,1024,1024,0,0,0,0,board_tile,,,
front_side__6__1024__512___512.png,tile ~22 linh kiện,tiles_1024,front_side__6,1024,1024,0,0,0,0,board_tile,,,
front_side__7__1024__512___1536.png,tile ~13 linh kiện,tiles_1024,front_side__7,1024,1024,0,0,0,0,board_tile,,,
front_side__8__1024__0___512.png,tile ~26 linh kiện,tiles_1024,front_side__8,1024,1024,0,0,0,0,board_tile,,,
front_side__9__1024__0___1536.png,tile ~9 linh kiện,tiles_1024,front_side__9,1024,1024,0,0,0,0,board_tile,,,
front_side__whole_pcb__1024__512___512.png,tile ~21 linh kiện,tiles_1024,front_side__whole_pcb,1024,1024,0,0,0,0,board_tile,,,
back_side__6__1024__512___0.png,tile ~61 linh kiện,tiles_1024,back_side__6,1024,1024,0,0,0,0,board_tile,,,
back_side__5__1024__512___1536.png,tile ~44 linh kiện,tiles_1024,back_side__5,1024,1024,0,0,0,0,board_tile,,,
back_side__7__1024__0___1024.png,tile ~40 linh kiện,tiles_1024,back_side__7,1024,1024,0,0,0,0,board_tile,,,
back_side__8__1024__512___512.png,tile ~37 linh kiện,tiles_1024,back_side__8,1024,1024,0,0,0,0,board_tile,,,
back_side__11__1024__512___512.png,tile ~33 linh kiện,tiles_1024,back_side__11,1024,1024,0,0,0,0,board_tile,,,
back_side__12__1024__512___512.png,tile ~32 linh kiện,tiles_1024,back_side__12,1024,1024,0,0,0,0,board_tile,,,
front_side__1__1024__512___512.png,tile ~31 linh kiện,tiles_1024,front_side__1,1024,1024,0,0,0,0,board_tile,,,
front_side__4__1024__512___1536.png,tile ~30 linh kiện,tiles_1024,front_side__4,1024,1024,0,0,0,0,board_tile,,,
front_side__13__1024__0___1536.png,tile ~24 linh kiện,tiles_1024,front_side__13,1024,1024,0,0,0,0,board_tile,,,
front_side__5__1024__512___0.png,tile ~22 linh kiện,tiles_1024,front_side__5,1024,1024,0,0,0,0,board_tile,,,
front_side__8__1024__0___1024.png,tile ~22 linh kiện,tiles_1024,front_side__8,1024,1024,0,0,0,0,board_tile,,,
