crop_path,dataset_source,source_image,scene_id,component_class,crop_w,crop_h,body_x,body_y,body_w,body_h,roi_kind,label_status,reviewer_id,notes
IMG_7941_JPG__003__capacitor.png,winnies_packages,test/images/IMG_7941_JPG.rf.dd314da415e17beb6d21eb3a99846900.jpg,IMG_7941_JPG,capacitor,77,137,14,26,48,86,component,,,
IMG_7941_JPG__008__TSSOP-14.png,winnies_packages,test/images/IMG_7941_JPG.rf.dd314da415e17beb6d21eb3a99846900.jpg,IMG_7941_JPG,TSSOP-14,402,517,75,61,251,350,component,,,
IMG_7941_JPG__009__TSSOP-14.png,winnies_packages,test/images/IMG_7941_JPG.rf.dd314da415e17beb6d21eb3a99846900.jpg,IMG_7941_JPG,TSSOP-14,427,549,80,103,267,343,component,,,
IMG_7941_JPG__010__TSSOP-16.png,winnies_packages,test/images/IMG_7941_JPG.rf.dd314da415e17beb6d21eb3a99846900.jpg,IMG_7941_JPG,TSSOP-16,638,422,120,79,399,264,component,,,
IMG_7942_JPG__023__SOT223.png,winnies_packages,train/images/IMG_7942_JPG.rf.0ad7def0b7b83d4dd0081ed561dbce2c.jpg,IMG_7942_JPG,SOT223,276,224,51,42,173,140,component,,,
IMG_7942_JPG__024__TSSOP-16.png,winnies_packages,train/images/IMG_7942_JPG.rf.0ad7def0b7b83d4dd0081ed561dbce2c.jpg,IMG_7942_JPG,TSSOP-16,416,508,78,95,260,317,component,,,
IMG_7943_JPG__001__resistor.png,winnies_packages,train/images/IMG_7943_JPG.rf.e969632e6eb85f2de2a929b42f733ebb.jpg,IMG_7943_JPG,resistor,146,90,27,17,91,56,component,,,
IMG_7943_JPG__002__resistor.png,winnies_packages,train/images/IMG_7943_JPG.rf.e969632e6eb85f2de2a929b42f733ebb.jpg,IMG_7943_JPG,resistor,141,81,26,15,88,51,component,,,
IMG_7943_JPG__007__LED.png,winnies_packages,train/images/IMG_7943_JPG.rf.e969632e6eb85f2de2a929b42f733ebb.jpg,IMG_7943_JPG,LED,201,96,37,18,126,60,component,,,
IMG_7943_JPG__008__LED.png,winnies_packages,train/images/IMG_7943_JPG.rf.e969632e6eb85f2de2a929b42f733ebb.jpg,IMG_7943_JPG,LED,212,92,40,18,133,57,component,,,
IMG_7943_JPG__009__SOT96.png,winnies_packages,train/images/IMG_7943_JPG.rf.e969632e6eb85f2de2a929b42f733ebb.jpg,IMG_7943_JPG,SOT96,372,264,70,49,233,165,component,,,
IMG_7944_JPG__000__resistor.png,winnies_packages,train/images/IMG_7944_JPG.rf.0f41b5ed656ce983667b8992a4f9dc9c.jpg,IMG_7944_JPG,resistor,135,82,26,15,84,51,component,,,
IMG_7944_JPG__002__resistor.png,winnies_packages,train/images/IMG_7944_JPG.rf.0f41b5ed656ce983667b8992a4f9dc9c.jpg,IMG_7944_JPG,resistor,80,143,16,27,50,89,component,,,
IMG_7944_JPG__005__capacitor.png,winnies_packages,train/images/IMG_7944_JPG.rf.0f41b5ed656ce983667b8992a4f9dc9c.jpg,IMG_7944_JPG,capacitor,145,88,27,16,91,55,component,,,
IMG_7944_JPG__006__LED.png,winnies_packages,train/images/IMG_7944_JPG.rf.0f41b5ed656ce983667b8992a4f9dc9c.jpg,IMG_7944_JPG,LED,232,97,44,18,145,61,component,,,
IMG_7944_JPG__007__LED.png,winnies_packages,train/images/IMG_7944_JPG.rf.0f41b5ed656ce983667b8992a4f9dc9c.jpg,IMG_7944_JPG,LED,244,123,46,23,152,77,component,,,
IMG_7944_JPG__008__SOT96.png,winnies_packages,train/images/IMG_7944_JPG.rf.0f41b5ed656ce983667b8992a4f9dc9c.jpg,IMG_7944_JPG,SOT96,401,280,75,53,251,175,component,,,
IMG_7945_JPG__000__resistor.png,winnies_packages,train/images/IMG_7945_JPG.rf.677a6974525a40da819334cb3cebf4ee.jpg,IMG_7945_JPG,resistor,83,144,15,27,52,90,component,,,
IMG_7945_JPG__004__capacitor.png,winnies_packages,train/images/IMG_7945_JPG.rf.677a6974525a40da819334cb3cebf4ee.jpg,IMG_7945_JPG,capacitor,137,76,26,14,86,48,component,,,
IMG_7945_JPG__006__LED.png,winnies_packages,train/images/IMG_7945_JPG.rf.677a6974525a40da819334cb3cebf4ee.jpg,IMG_7945_JPG,LED,224,118,42,22,140,74,component,,,
IMG_7945_JPG__007__LED.png,winnies_packages,train/images/IMG_7945_JPG.rf.677a6974525a40da819334cb3cebf4ee.jpg,IMG_7945_JPG,LED,229,112,43,21,143,70,component,,,
IMG_7945_JPG__008__SOT96.png,winnies_packages,train/images/IMG_7945_JPG.rf.677a6974525a40da819334cb3cebf4ee.jpg,IMG_7945_JPG,SOT96,406,269,76,51,254,168,component,,,
IMG_7946_JPG__006__LED.png,winnies_packages,train/images/IMG_7946_JPG.rf.2dcc7ff7c402ed6cbd8caaf066b9d4db.jpg,IMG_7946_JPG,LED,151,81,28,15,94,51,component,,,
IMG_7946_JPG__008__SOT96.png,winnies_packages,train/images/IMG_7946_JPG.rf.2dcc7ff7c402ed6cbd8caaf066b9d4db.jpg,IMG_7946_JPG,SOT96,383,280,72,52,239,175,component,,,
IMG_7947_JPG__000__resistor.png,winnies_packages,valid/images/IMG_7947_JPG.rf.ec6c072a3c725ab3086f7830c0b6fe90.jpg,IMG_7947_JPG,resistor,87,156,16,29,55,97,component,,,
IMG_7947_JPG__001__resistor.png,winnies_packages,valid/images/IMG_7947_JPG.rf.ec6c072a3c725ab3086f7830c0b6fe90.jpg,IMG_7947_JPG,resistor,91,166,17,31,57,104,component,,,
IMG_7947_JPG__002__resistor.png,winnies_packages,valid/images/IMG_7947_JPG.rf.ec6c072a3c725ab3086f7830c0b6fe90.jpg,IMG_7947_JPG,resistor,78,146,15,27,49,92,component,,,
IMG_7947_JPG__004__resistor.png,winnies_packages,valid/images/IMG_7947_JPG.rf.ec6c072a3c725ab3086f7830c0b6fe90.jpg,IMG_7947_JPG,resistor,82,162,16,30,51,102,component,,,
IMG_7947_JPG__005__resistor.png,winnies_packages,valid/images/IMG_7947_JPG.rf.ec6c072a3c725ab3086f7830c0b6fe90.jpg,IMG_7947_JPG,resistor,85,143,16,27,53,90,component,,,
IMG_7947_JPG__006__LED.png,winnies_packages,valid/images/IMG_7947_JPG.rf.ec6c072a3c725ab3086f7830c0b6fe90.jpg,IMG_7947_JPG,LED,79,111,15,21,49,69,component,,,
IMG_7947_JPG__007__LED.png,winnies_packages,valid/images/IMG_7947_JPG.rf.ec6c072a3c725ab3086f7830c0b6fe90.jpg,IMG_7947_JPG,LED,77,130,14,25,48,81,component,,,
