image_id,sha256,review_status,layout_ok,side_ok,focus_ok,board_complete,visible_anomaly,notes,reviewer,reviewed_at,measured_focus_laplacian_variance,measured_mean_luminance,measured_focus_rank,is_selected_golden
mpi_pcb_train_good_0040,3190f2863727e6a15fe11001415706e54f40031ff0b0ffb6ebe3676cf7fe8719,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,72.710254,102.860074,19,false
mpi_pcb_train_good_0062,8f3a5ece954cd262c34f7eb89de7a396b173b575967277443ec25ed45f90dde0,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,125.567221,114.107995,10,false
mpi_pcb_train_good_0123,72af08a89f4d269b722ab23e8677d19f1bc4ec5aa6b747a3833cfc871c6a1d40,ok_verified,true,true,true,true,none,mild warm cast (R-B=+14); lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,81.50157,114.758247,17,false
mpi_pcb_train_good_0189,be23350d91f75fd312bcf30b71309c3f4616eb71ba0b7646c965d82cb6b7d7cd,ok_verified,true,true,true,true,none,strong warm/yellow white-balance shift (R-B=+46); softest-focus group (focus rank 28/30); part markings still legible at 100%; lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,56.790342,117.824523,28,false
mpi_pcb_train_good_0245,073ae077335075267b3d351eadb41e9ca2642f31e32e2b6142cab99ba65ad742,ok_verified,true,true,true,true,none,mild warm cast (R-B=+11); lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,68.944121,125.233533,22,false
mpi_pcb_train_good_0309,5582ff45d68b6e196d57086c6f10f4df3233a7c4f42312aa14496257e8c91998,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,143.422172,121.315382,6,false
mpi_pcb_train_good_0359,a592c7fdd889827cbbc8f22f3d7238026c639f536228c48644e3c74d410613b4,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,170.685316,120.487799,1,false
mpi_pcb_train_good_0418,937e4065be686446219779cd36df40205127f8ce86e0717f833d9b1f9259d173,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,145.329245,127.18382,5,false
mpi_pcb_train_good_0465,8340e952378269caf702c23d7fe9e8a063f7b2c91ad4adc3b57170e1bc720281,ok_verified,true,true,true,true,none,specular highlights near clipping (p99=249); lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,154.48715,125.450792,3,false
mpi_pcb_train_good_0522,77b240445b35b436cf094a41b348ebfd3c684670d153ac9f527a6e900f83d10f,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,72.065607,111.234234,20,false
mpi_pcb_train_good_0605,02a367906eda506d78185d5d271771d5a988917c09c7f05e98b636ff0244ea09,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,85.581647,115.585309,16,false
mpi_pcb_train_good_0629,5f78a25aa3c49c69cfba2a7601c9f9737732f9118b1ba0de2a2b3ef63327bbde,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,61.567864,118.606655,25,false
mpi_pcb_train_good_0676,dfd950eb4855c92a74eadc25e566b7099ca24fafbd531da0a6ca2fab8941b8d5,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,71.846377,115.674295,21,false
mpi_pcb_train_good_0781,370f95bd829ae0109dc329785d9d389b48a5824c31dac8ccca1f306f72e04d5e,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,137.966716,108.665729,8,false
mpi_pcb_train_good_0812,d2b0d97de74ff8877829b83b8a932cd790debdf9bbf41a9a5d080542946ffbd9,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,150.811245,106.676986,4,false
mpi_pcb_train_good_0893,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,ok_verified,true,true,true,true,none,SELECTED GOLDEN; lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,61.298884,110.915689,26,true
mpi_pcb_train_good_0937,70d41903297e662931a0fdc72eebff74faf3456d71a05b2611d6bebaa3e03f88,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,138.571298,108.923069,7,false
mpi_pcb_train_good_1000,00760744cfc5f8dd48e439fc1d1afb5939357f0cbd4e47138d9671ee52a5ed23,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,119.337626,113.917419,11,false
mpi_pcb_train_good_1060,074ab4763eec997013c1bf38530a818c6bbd28529b56c1e4e566e3fe9bdbd544,ok_verified,true,true,true,true,none,softest-focus group (focus rank 30/30); part markings still legible at 100%; lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,51.760439,114.140454,30,false
mpi_pcb_train_good_1090,d441311657112a4dbad956b7341f71bc6717f8af49045b4a07e076ca8bf60d55,ok_verified,true,true,true,true,none,softest-focus group (focus rank 27/30); part markings still legible at 100%; lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,59.36478,108.996143,27,false
mpi_pcb_train_good_1163,1837564dba0a75846fc3232d7880e9ca8855339e26f11a495d6c5a7a2f95478e,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,68.486104,103.347636,23,false
mpi_pcb_train_good_1195,54b41241f13c74ad8cf7a665d872a60a1a225c9c8cfc43503201a2cebbe1e7a4,ok_verified,true,true,true,true,none,lighting angle and white balance vary across the set; no effect on the fields above,qnn,2026-08-24,62.554479,109.798728,24,false
