image_id,sha256,board_id,revision,side,annotation_schema,coordinate_space,transform_id,label_source,annotator,reviewer,review_status,notes
mpi_pcb_train_good_0040,3190f2863727e6a15fe11001415706e54f40031ff0b0ffb6ebe3676cf7fe8719,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0062,8f3a5ece954cd262c34f7eb89de7a396b173b575967277443ec25ed45f90dde0,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0123,72af08a89f4d269b722ab23e8677d19f1bc4ec5aa6b747a3833cfc871c6a1d40,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0189,be23350d91f75fd312bcf30b71309c3f4616eb71ba0b7646c965d82cb6b7d7cd,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0245,073ae077335075267b3d351eadb41e9ca2642f31e32e2b6142cab99ba65ad742,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0309,5582ff45d68b6e196d57086c6f10f4df3233a7c4f42312aa14496257e8c91998,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0359,a592c7fdd889827cbbc8f22f3d7238026c639f536228c48644e3c74d410613b4,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0418,937e4065be686446219779cd36df40205127f8ce86e0717f833d9b1f9259d173,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0465,8340e952378269caf702c23d7fe9e8a063f7b2c91ad4adc3b57170e1bc720281,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0522,77b240445b35b436cf094a41b348ebfd3c684670d153ac9f527a6e900f83d10f,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0605,02a367906eda506d78185d5d271771d5a988917c09c7f05e98b636ff0244ea09,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0629,5f78a25aa3c49c69cfba2a7601c9f9737732f9118b1ba0de2a2b3ef63327bbde,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0676,dfd950eb4855c92a74eadc25e566b7099ca24fafbd531da0a6ca2fab8941b8d5,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0781,370f95bd829ae0109dc329785d9d389b48a5824c31dac8ccca1f306f72e04d5e,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0812,d2b0d97de74ff8877829b83b8a932cd790debdf9bbf41a9a5d080542946ffbd9,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0893,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_0937,70d41903297e662931a0fdc72eebff74faf3456d71a05b2611d6bebaa3e03f88,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1000,00760744cfc5f8dd48e439fc1d1afb5939357f0cbd4e47138d9671ee52a5ed23,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1060,074ab4763eec997013c1bf38530a818c6bbd28529b56c1e4e566e3fe9bdbd544,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1090,d441311657112a4dbad956b7341f71bc6717f8af49045b4a07e076ca8bf60d55,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1163,1837564dba0a75846fc3232d7880e9ca8855339e26f11a495d6c5a7a2f95478e,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1195,54b41241f13c74ad8cf7a665d872a60a1a225c9c8cfc43503201a2cebbe1e7a4,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1287,62d11604b8ddbd3e14a2a4ed13daffe1aca5618adf6c7340a4a850803465db5f,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1322,047409fb60c81aa87f60f4eca600d0a230286c3859c54707336a44ad4fd1c980,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1386,7ae1495ff3092f4bc926b3ba29580bb5a8ca06d7f444b82ee386c76d0a6066d4,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1418,bd9e870f7549e7d63ade24895c798773b98bc1e2a48bf6da2ef87896dbc38388,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1505,87a1ba9d748b845650941a930b6ea9f4e2d7ebcbc8c575179b67fb7e7ae188db,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1553,061961822b32641b2b0eed279c3bbf9570441a6fc0abe74099d770a2c3c5666c,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1584,9ed68615b02b7a601c0b3c287e4838251690e89876797cc0a02dfda54c1ca620,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
mpi_pcb_train_good_1664,86e1d977560cd2b9104fcf6ed92aa04d01a97170ad042950a94b042474dda2e6,mpi_pcb_gas_pump,unknown,component_side,,,,unknown,,,draft,
