record_id,source_auto_id,action,verified_refdes,class,footprint,center_x_px,center_y_px,rotation_deg,polarity,review_status,label_source,notes
PNP_0001,U_AUTO_0001,,,ic,,1643.148254,463.024200,,,draft,pseudo_label,support_ratio=0.233; observations=7/30; class_purity=1.000; center_mad_px=9.00; detector_gate=NEEDS_REVIEW
PNP_0002,J_AUTO_0006,,,connector,,354.307974,473.762527,,,draft,pseudo_label,support_ratio=0.133; observations=4/30; class_purity=1.000; center_mad_px=6.64; detector_gate=NEEDS_REVIEW
PNP_0003,U_AUTO_0006,,,ic,,2294.620361,479.516266,,,draft,pseudo_label,support_ratio=0.500; observations=15/30; class_purity=1.000; center_mad_px=8.35; detector_gate=NEEDS_REVIEW
PNP_0004,U_AUTO_0008,,,ic,,1037.972321,484.740616,,,draft,pseudo_label,support_ratio=0.367; observations=11/30; class_purity=1.000; center_mad_px=9.12; detector_gate=NEEDS_REVIEW
PNP_0005,U_AUTO_0013,,,ic,,2974.115234,752.570526,,,draft,pseudo_label,support_ratio=0.600; observations=18/30; class_purity=1.000; center_mad_px=8.08; detector_gate=NEEDS_REVIEW
PNP_0006,U_AUTO_0014,,,ic,,1668.912109,753.068604,,,draft,pseudo_label,support_ratio=0.333; observations=10/30; class_purity=1.000; center_mad_px=5.84; detector_gate=NEEDS_REVIEW
PNP_0007,U_AUTO_0015,,,ic,,330.946501,753.373123,,,draft,pseudo_label,support_ratio=0.267; observations=8/30; class_purity=1.000; center_mad_px=7.24; detector_gate=NEEDS_REVIEW
PNP_0008,U_AUTO_0016,,,ic,,2283.302887,754.898682,,,draft,pseudo_label,support_ratio=0.933; observations=28/30; class_purity=1.000; center_mad_px=9.51; detector_gate=CONSENSUS
PNP_0009,U_AUTO_0017,,,ic,,1026.138016,755.930206,,,draft,pseudo_label,support_ratio=0.800; observations=24/30; class_purity=1.000; center_mad_px=10.54; detector_gate=CONSENSUS
PNP_0010,U_AUTO_0024,,,ic,,2287.718079,1028.629272,,,draft,pseudo_label,support_ratio=0.567; observations=17/30; class_purity=1.000; center_mad_px=8.41; detector_gate=NEEDS_REVIEW
PNP_0011,U_AUTO_0028,,,ic,,2956.547241,1037.654495,,,draft,pseudo_label,support_ratio=0.333; observations=10/30; class_purity=1.000; center_mad_px=10.34; detector_gate=NEEDS_REVIEW
PNP_0012,U_AUTO_0029,,,ic,,1610.072449,1041.415604,,,draft,pseudo_label,support_ratio=0.667; observations=20/30; class_purity=1.000; center_mad_px=9.99; detector_gate=NEEDS_REVIEW
PNP_0013,U_AUTO_0030,,,ic,,938.986267,1042.784332,,,draft,pseudo_label,support_ratio=0.633; observations=19/30; class_purity=1.000; center_mad_px=9.06; detector_gate=NEEDS_REVIEW
