board_id,upstream_board_id,image_path,image_sha256,width_px,height_px,focus_laplacian_var_at_max1600,upstream_ic_count,pnp_proposal_count,reference_status,review_status
pcb_dslr_001,pcb1,../boards/pcb_dslr_001/rec1.jpg,7c9e38f27cf44b0a9f7e6713b19c54c4be09e0762b0445288246b85783e6ee63,4928,3280,4445.923863,23,59,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_002,pcb2,../boards/pcb_dslr_002/rec1.jpg,982e5b879d83dd4af225f5a1eab4e4061d63fdbfdc8aa3978b29919da4bce73b,4928,3280,2408.998794,16,61,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_003,pcb3,../boards/pcb_dslr_003/rec1.jpg,f34fba239b4db4e459a91e1eb66566344c330b8a018c92c3897e148b2c30c36a,4928,3280,3131.950477,76,237,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_004,pcb4,../boards/pcb_dslr_004/rec1.jpg,98d2a79005e73f489df0e6e29e5c5af1020fb0742b4ee3182ef3154658addd45,4928,3280,1404.564036,3,13,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_005,pcb5,../boards/pcb_dslr_005/rec1.jpg,2f543c181bef6edfcdc8ca1ac6b98dc4221e35b632b5fab5f3a08dee81b3ee04,4928,3280,1849.299293,6,9,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_006,pcb6,../boards/pcb_dslr_006/rec1.jpg,af1fcc11b5c5d93836c680619169d893b96013940ac0e84b09e42c9fbe4411a8,4928,3280,3485.219999,21,33,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_007,pcb7,../boards/pcb_dslr_007/rec1.jpg,b5d0a75d08bea0a155b5a399eae2568b129429bf115d66d9df27ff628f46c78b,4928,3280,4800.140260,135,144,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_008,pcb8,../boards/pcb_dslr_008/rec1.jpg,55cf093aaf8af07376662163b00675f59b97c6f2bec384adb70f608ce3cbbb6c,4928,3280,3477.537534,18,85,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_009,pcb9,../boards/pcb_dslr_009/rec1.jpg,8654035936e4c1f45cd1e9d2e704bd73567d7e6e160cdba2c8b04a2f14d55508,4928,3280,5912.719689,21,27,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_010,pcb10,../boards/pcb_dslr_010/rec1.jpg,dcc5d1957833c2a924ddc84f86aa30fcc45b31c109867786a515ed6adb89cca3,4928,3280,3559.836966,3,23,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
pcb_dslr_011,pcb11,../boards/pcb_dslr_011/rec1.jpg,68354debd2bc95efc95f0770df042c1b7026ef010586b146ad34a30d299c6a20,4928,3280,2795.819008,41,284,GOLDEN_CANDIDATE_NEEDS_REVIEW,NEEDS_REVIEW
