source,label,cluster,n,long_med,aspect_med,circ_med,defects_med
fpic,Button,cluster_1,91,128.0000,1.5556,0.0733,4.0000
fpic,Button,cluster_2,2,85.0000,3.8571,0.0875,1.5000
fpic,Button,cluster_3,60,119.0000,1.2105,0.7073,0.5000
fpic,Button,cluster_4,124,114.0000,1.3790,0.2838,3.0000
fpic,Capacitor,cluster_1,3477,33.0000,2.0833,0.5886,1.0000
fpic,Capacitor,cluster_2,5688,26.0000,1.6429,0.2510,2.0000
fpic,Capacitor,cluster_3,8615,25.0000,1.5294,0.6128,1.0000
fpic,Capacitor,cluster_4,3241,72.0000,1.1512,0.2321,3.0000
fpic,Capacitor Jumper,cluster_1,5076,30.0000,1.8125,0.6578,0.0000
fpic,Capacitor Jumper,cluster_2,2538,30.0000,1.6923,0.1678,2.0000
fpic,Capacitor Jumper,cluster_3,1807,77.0000,1.1585,0.2920,3.0000
fpic,Capacitor Jumper,cluster_4,3532,29.0000,1.8571,0.4300,2.0000
fpic,Clock,cluster_1,74,131.5000,1.6548,0.1477,2.0000
fpic,Clock,cluster_2,72,76.0000,1.2373,0.6125,0.0000
fpic,Connector,cluster_1,1264,125.0000,1.8000,0.6220,0.0000
fpic,Connector,cluster_2,1482,148.0000,1.6703,0.1376,2.0000
fpic,Connector,cluster_3,322,871.0000,12.0952,0.0507,0.0000
fpic,Connector,cluster_4,1483,488.0000,3.3946,0.1819,1.0000
fpic,Diode,cluster_1,80,65.5000,1.8280,0.5888,1.0000
fpic,Diode,cluster_2,69,91.0000,1.2292,0.5271,2.0000
fpic,Diode,cluster_3,80,97.0000,1.8922,0.1309,2.0000
fpic,Diode,cluster_4,54,31.5000,1.1216,0.2259,3.0000
fpic,EM,cluster_1,55,42.0000,1.8095,0.5194,2.0000
fpic,EM,cluster_2,107,41.0000,1.7222,0.1666,3.0000
fpic,Electrolytic Capacitor,cluster_1,216,81.0000,1.4286,0.3611,2.0000
fpic,Electrolytic Capacitor,cluster_2,150,90.5000,2.2955,0.2975,2.0000
fpic,Electrolytic Capacitor,cluster_3,141,101.0000,1.9829,0.1426,2.0000
fpic,Electrolytic Capacitor,cluster_4,349,100.0000,1.5778,0.6934,0.0000
fpic,Ferrite Bead,cluster_1,70,51.0000,1.9129,0.5993,2.0000
fpic,Ferrite Bead,cluster_2,33,42.0000,1.8696,0.1388,2.0000
fpic,IC,cluster_1,940,118.0000,1.1791,0.0736,3.0000
fpic,IC,cluster_2,2659,71.0000,1.2432,0.2264,3.0000
fpic,IC,cluster_3,1729,180.0000,1.2394,0.2574,2.0000
fpic,IC,cluster_4,2124,68.0000,1.1926,0.5586,1.0000
fpic,Inductor,cluster_1,71,121.0000,1.1028,0.4093,1.0000
fpic,Inductor,cluster_2,99,46.0000,1.4828,0.2428,2.0000
fpic,Inductor,cluster_3,65,41.0000,1.5417,0.5912,1.0000
fpic,Jumper,cluster_1,73,110.0000,1.5909,0.1254,2.0000
fpic,Jumper,cluster_2,113,53.0000,1.7097,0.4609,1.0000
fpic,Jumper,cluster_3,90,59.0000,1.7704,0.1673,2.0000
fpic,Jumper,cluster_4,45,144.0000,1.9483,0.4098,1.0000
fpic,Led,cluster_1,134,38.5000,1.8297,0.1535,1.0000
fpic,Led,cluster_2,194,76.5000,1.2798,0.1880,3.0000
fpic,Led,cluster_3,91,95.0000,2.3125,0.2710,2.0000
fpic,Led,cluster_4,338,42.0000,1.8397,0.5773,1.0000
fpic,Pads,cluster_1,500,35.0000,1.8500,0.7235,1.0000
fpic,Pads,cluster_2,202,74.5000,1.4526,0.6533,1.0000
fpic,Pads,cluster_3,287,36.0000,1.6176,0.1897,2.0000
fpic,Pads,cluster_4,13,346.0000,3.7500,0.4510,1.0000
fpic,Pins,cluster_1,152,355.0000,4.2268,0.2359,1.0000
fpic,Pins,cluster_2,330,168.5000,2.1261,0.7694,0.0000
fpic,Pins,cluster_3,409,103.0000,1.5068,0.2122,3.0000
fpic,Pins,cluster_4,320,69.0000,1.5789,0.5777,2.0000
fpic,Resistor,cluster_1,1186,30.0000,1.7143,0.2541,2.0000
fpic,Resistor,cluster_2,1015,33.0000,1.5882,0.6584,1.0000
fpic,Resistor,cluster_3,680,33.0000,2.1429,0.6051,2.0000
fpic,Resistor,cluster_4,265,68.0000,1.9697,0.3571,2.0000
fpic,Resistor Jumper,cluster_1,1744,29.0000,1.8000,0.1819,2.0000
fpic,Resistor Jumper,cluster_2,341,109.0000,2.7288,0.2733,2.0000
fpic,Resistor Jumper,cluster_3,2599,28.0000,1.9231,0.4140,2.0000
fpic,Resistor Jumper,cluster_4,4062,28.0000,1.8667,0.6538,0.0000
fpic,Resistor Network,cluster_1,1461,75.0000,2.0435,0.3282,2.0000
fpic,Resistor Network,cluster_2,9611,25.0000,1.6111,0.6394,0.0000
fpic,Resistor Network,cluster_3,6131,25.0000,1.6429,0.4242,2.0000
fpic,Resistor Network,cluster_4,3312,27.0000,1.6031,0.1870,2.0000
fpic,Switch,cluster_1,5,114.0000,3.8000,0.0587,2.0000
fpic,Switch,cluster_2,50,192.0000,1.8482,0.5133,1.0000
fpic,Switch,cluster_3,133,156.0000,1.6061,0.1119,3.0000
fpic,Test Point,cluster_1,775,32.0000,1.0500,0.8308,0.0000
fpic,Test Point,cluster_2,397,28.0000,1.0588,0.4849,2.0000
fpic,Test Point,cluster_3,6,53.5000,2.2866,0.4613,1.0000
fpic,Test Point,cluster_4,95,49.0000,1.1778,0.1037,1.0000
fpic,Transistor,cluster_1,636,36.0000,1.1538,0.1862,3.0000
fpic,Transistor,cluster_2,1356,32.0000,1.1481,0.3834,3.0000
fpic,Transistor,cluster_3,1540,33.0000,1.1786,0.6252,1.0000
fpic,Transistor,cluster_4,632,99.0000,1.4040,0.3056,3.0000
