source,label,n_total,level,n_shape,long_p10,long_med,long_p90,aspect_med,circ_med,solidity_med,poly_med,defects_med,area_frac_med
fpic,Resistor Network,37329,family,20515,20.0000,26.0000,44.0000,1.6429,0.5240,0.8635,8.0000,1.0000,0.0002
fpic,Capacitor,32564,family,21021,21.0000,29.0000,73.0000,1.5909,0.4768,0.8409,8.0000,2.0000,0.0002
fpic,Capacitor Jumper,19034,family,12953,22.0000,31.0000,70.0000,1.7500,0.4786,0.8411,8.0000,2.0000,0.0002
fpic,Resistor Jumper,16034,family,8746,22.0000,28.0000,40.0000,1.8824,0.5209,0.8822,7.0000,1.0000,0.0001
fpic,IC,7481,family,7452,42.0000,84.0000,226.0000,1.2201,0.2759,0.7996,8.0000,3.0000,0.0022
fpic,Resistor,4627,family,3146,26.0000,32.0000,47.0000,1.7647,0.4470,0.8067,9.0000,2.0000,0.0003
fpic,Connector,4558,family,4551,64.0000,223.0000,758.0000,2.3871,0.2187,0.8051,6.0000,1.0000,0.0070
fpic,Transistor,4273,family,4164,24.0000,35.0000,93.7000,1.1852,0.4269,0.8112,9.0000,2.0000,0.0004
fpic,Test Point,1289,family,1273,19.0000,31.0000,53.0000,1.0556,0.7246,0.9313,8.0000,1.0000,0.0003
fpic,Pins,1212,family,1211,50.0000,128.0000,333.0000,1.8542,0.4273,0.8448,8.0000,2.0000,0.0020
fpic,Pads,1176,family,1002,27.0000,39.0000,95.0000,1.7222,0.6235,0.8993,8.0000,1.0000,0.0003
fpic,Unknown Unlabeled,982,family,803,22.0000,33.0000,59.8000,1.6429,0.3334,0.7500,9.0000,2.0000,0.0005
fpic,Electrolytic Capacitor,856,family,856,49.0000,95.0000,200.0000,1.7450,0.4199,0.8348,8.0000,1.0000,0.0014
fpic,Led,784,family,757,28.0000,47.0000,111.4000,1.7647,0.3548,0.8009,9.0000,2.0000,0.0004
fpic,Jumper,324,family,321,47.0000,73.0000,148.0000,1.7500,0.3071,0.7150,7.0000,1.0000,0.0008
fpic,Diode,284,family,283,28.2000,81.0000,162.6000,1.6341,0.3367,0.7778,8.0000,2.0000,0.0013
fpic,Button,277,family,277,80.0000,124.0000,301.8000,1.3462,0.2258,0.7565,9.0000,3.0000,0.0030
fpic,Inductor,235,family,235,32.0000,66.0000,162.6000,1.3793,0.3534,0.7792,9.0000,2.0000,0.0009
fpic,Switch,189,family,188,98.0000,156.5000,424.5000,1.6471,0.1540,0.6133,11.0000,2.0000,0.0050
fpic,EM,162,family,162,36.0000,41.0000,77.0000,1.7368,0.2123,0.6877,10.0000,2.0000,0.0003
fpic,Clock,146,family,146,49.0000,98.5000,316.5000,1.2662,0.3533,0.8633,8.0000,2.0000,0.0018
fpic,iC,123,family,116,38.0000,67.0000,204.0000,1.3417,0.3042,0.7454,8.5000,3.0000,0.0020
fpic,Ferrite Bead,108,family,103,24.0000,43.0000,103.8000,1.9032,0.4712,0.8548,9.0000,2.0000,0.0003
winnies,resistor,5989,package,5979,33.0000,55.0000,93.0000,2.0526,0.2245,0.6925,9.0000,2.0000,0.0005
winnies,capacitor,5406,package,5404,32.0000,52.0000,92.0000,1.8529,0.3211,0.7636,9.0000,2.0000,0.0005
winnies,LED,916,package,913,31.0000,46.0000,86.0000,1.9375,0.2971,0.7644,10.0000,3.0000,0.0004
winnies,SOT23,671,package,671,34.0000,54.0000,102.0000,1.1714,0.3101,0.7434,9.0000,2.0000,0.0008
