schema_version,artifact_status,coordinate_space,proposal_basis,selected_golden_frame_id,selected_golden_sha256,selected_golden_observation_present,board_id,side,designator,designator_source,class_label,center_x_px,center_y_px,x1_px,y1_px,x2_px,y2_px,rotation_deg,footprint,observation_count,frame_count,support_ratio,class_purity,center_mad_px,median_confidence,consensus_status,review_status,review_reasons,class_counts_json,frame_ids_json
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0001,synthetic_auto,ic,1643.148254,463.024200,1389.305786,380.907227,1892.667114,545.582153,,,7,30,0.233333,1.000000,9.004998,0.536405,NEEDS_REVIEW,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification;low_support,"{""ic"": 7}","[""mpi_pcb_train_good_0605.jpg"", ""mpi_pcb_train_good_0676.jpg"", ""mpi_pcb_train_good_0781.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_0937.jpg"", ""mpi_pcb_train_good_1090.jpg"", ""mpi_pcb_train_good_1287.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,J_AUTO_0006,synthetic_auto,connector,354.307974,473.762527,107.963997,404.969513,608.782349,542.555542,,,4,30,0.133333,1.000000,6.639119,0.295466,NEEDS_REVIEW,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification;low_support,"{""connector"": 4}","[""mpi_pcb_train_good_0676.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_1060.jpg"", ""mpi_pcb_train_good_1322.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0006,synthetic_auto,ic,2294.620361,479.516266,2033.571167,398.178925,2558.257568,558.752136,,,15,30,0.500000,1.000000,8.346797,0.531453,NEEDS_REVIEW,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification;low_support,"{""ic"": 15}","[""mpi_pcb_train_good_0040.jpg"", ""mpi_pcb_train_good_0309.jpg"", ""mpi_pcb_train_good_0359.jpg"", ""mpi_pcb_train_good_0465.jpg"", ""mpi_pcb_train_good_0522.jpg"", ""mpi_pcb_train_good_0629.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_1163.jpg"", ""mpi_pcb_train_good_1195.jpg"", ""mpi_pcb_train_good_1322.jpg"", ""mpi_pcb_train_good_1386.jpg"", ""mpi_pcb_train_good_1418.jpg"", ""mpi_pcb_train_good_1505.jpg"", ""mpi_pcb_train_good_1553.jpg"", ""mpi_pcb_train_good_1664.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0008,synthetic_auto,ic,1037.972321,484.740616,773.136719,408.763550,1298.322998,563.138855,,,11,30,0.366667,1.000000,9.124650,0.616884,NEEDS_REVIEW,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification;low_support,"{""ic"": 11}","[""mpi_pcb_train_good_0040.jpg"", ""mpi_pcb_train_good_0309.jpg"", ""mpi_pcb_train_good_0359.jpg"", ""mpi_pcb_train_good_0465.jpg"", ""mpi_pcb_train_good_0522.jpg"", ""mpi_pcb_train_good_0629.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_1163.jpg"", ""mpi_pcb_train_good_1195.jpg"", ""mpi_pcb_train_good_1386.jpg"", ""mpi_pcb_train_good_1418.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0013,synthetic_auto,ic,2974.115234,752.570526,2720.489746,675.299652,3233.460938,830.564484,,,18,30,0.600000,1.000000,8.075611,0.751258,NEEDS_REVIEW,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification;low_support,"{""ic"": 18}","[""mpi_pcb_train_good_0123.jpg"", ""mpi_pcb_train_good_0189.jpg"", ""mpi_pcb_train_good_0418.jpg"", ""mpi_pcb_train_good_0522.jpg"", ""mpi_pcb_train_good_0629.jpg"", ""mpi_pcb_train_good_0676.jpg"", ""mpi_pcb_train_good_0781.jpg"", ""mpi_pcb_train_good_0812.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_1000.jpg"", ""mpi_pcb_train_good_1090.jpg"", ""mpi_pcb_train_good_1163.jpg"", ""mpi_pcb_train_good_1195.jpg"", ""mpi_pcb_train_good_1287.jpg"", ""mpi_pcb_train_good_1322.jpg"", ""mpi_pcb_train_good_1386.jpg"", ""mpi_pcb_train_good_1505.jpg"", ""mpi_pcb_train_good_1664.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0014,synthetic_auto,ic,1668.912109,753.068604,1410.497375,676.849335,1928.935059,830.183868,,,10,30,0.333333,1.000000,5.843657,0.766209,NEEDS_REVIEW,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification;low_support,"{""ic"": 10}","[""mpi_pcb_train_good_0189.jpg"", ""mpi_pcb_train_good_0418.jpg"", ""mpi_pcb_train_good_0522.jpg"", ""mpi_pcb_train_good_0629.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_1163.jpg"", ""mpi_pcb_train_good_1195.jpg"", ""mpi_pcb_train_good_1322.jpg"", ""mpi_pcb_train_good_1386.jpg"", ""mpi_pcb_train_good_1418.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0015,synthetic_auto,ic,330.946501,753.373123,71.360989,678.519531,589.681793,831.238922,,,8,30,0.266667,1.000000,7.240668,0.524811,NEEDS_REVIEW,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification;low_support,"{""ic"": 8}","[""mpi_pcb_train_good_0245.jpg"", ""mpi_pcb_train_good_0781.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_0937.jpg"", ""mpi_pcb_train_good_1060.jpg"", ""mpi_pcb_train_good_1163.jpg"", ""mpi_pcb_train_good_1322.jpg"", ""mpi_pcb_train_good_1664.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0016,synthetic_auto,ic,2283.302887,754.898682,2025.441345,674.964508,2543.068115,835.667908,,,28,30,0.933333,1.000000,9.506948,0.756436,CONSENSUS,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification,"{""ic"": 28}","[""mpi_pcb_train_good_0040.jpg"", ""mpi_pcb_train_good_0062.jpg"", ""mpi_pcb_train_good_0123.jpg"", ""mpi_pcb_train_good_0189.jpg"", ""mpi_pcb_train_good_0245.jpg"", ""mpi_pcb_train_good_0309.jpg"", ""mpi_pcb_train_good_0418.jpg"", ""mpi_pcb_train_good_0465.jpg"", ""mpi_pcb_train_good_0522.jpg"", ""mpi_pcb_train_good_0605.jpg"", ""mpi_pcb_train_good_0629.jpg"", ""mpi_pcb_train_good_0676.jpg"", ""mpi_pcb_train_good_0781.jpg"", ""mpi_pcb_train_good_0812.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_0937.jpg"", ""mpi_pcb_train_good_1000.jpg"", ""mpi_pcb_train_good_1060.jpg"", ""mpi_pcb_train_good_1090.jpg"", ""mpi_pcb_train_good_1163.jpg"", ""mpi_pcb_train_good_1195.jpg"", ""mpi_pcb_train_good_1287.jpg"", ""mpi_pcb_train_good_1322.jpg"", ""mpi_pcb_train_good_1386.jpg"", ""mpi_pcb_train_good_1505.jpg"", ""mpi_pcb_train_good_1553.jpg"", ""mpi_pcb_train_good_1584.jpg"", ""mpi_pcb_train_good_1664.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0017,synthetic_auto,ic,1026.138016,755.930206,766.081360,681.772888,1287.354858,834.954865,,,24,30,0.800000,1.000000,10.535282,0.755492,CONSENSUS,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification,"{""ic"": 24}","[""mpi_pcb_train_good_0040.jpg"", ""mpi_pcb_train_good_0062.jpg"", ""mpi_pcb_train_good_0123.jpg"", ""mpi_pcb_train_good_0189.jpg"", ""mpi_pcb_train_good_0309.jpg"", ""mpi_pcb_train_good_0359.jpg"", ""mpi_pcb_train_good_0418.jpg"", ""mpi_pcb_train_good_0465.jpg"", ""mpi_pcb_train_good_0522.jpg"", ""mpi_pcb_train_good_0605.jpg"", ""mpi_pcb_train_good_0629.jpg"", ""mpi_pcb_train_good_0812.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_1000.jpg"", ""mpi_pcb_train_good_1060.jpg"", ""mpi_pcb_train_good_1163.jpg"", ""mpi_pcb_train_good_1195.jpg"", ""mpi_pcb_train_good_1322.jpg"", ""mpi_pcb_train_good_1386.jpg"", ""mpi_pcb_train_good_1418.jpg"", ""mpi_pcb_train_good_1505.jpg"", ""mpi_pcb_train_good_1553.jpg"", ""mpi_pcb_train_good_1584.jpg"", ""mpi_pcb_train_good_1664.jpg""]"
aoi-pnp-pixels-review-draft/1.0,NEEDS_REVIEW,golden_board_pixels,median_consensus_cluster_with_selected_golden_observation,mpi_pcb_train_good_0893.jpg,10c5b91aa967ca44a1a576c8ecf0e8a127305be8c34e586d6e040bafda7789f4,true,mpi_pcb_gas_pump,top,U_AUTO_0024,synthetic_auto,ic,2287.718079,1028.629272,2045.257935,955.390381,2530.178223,1104.795654,,,17,30,0.566667,1.000000,8.406010,0.772333,NEEDS_REVIEW,NEEDS_REVIEW,synthetic_auto_designator;rotation_not_estimated;footprint_unknown;selected_golden_presence_not_identity_verification;low_support,"{""ic"": 17}","[""mpi_pcb_train_good_0123.jpg"", ""mpi_pcb_train_good_0245.jpg"", ""mpi_pcb_train_good_0309.jpg"", ""mpi_pcb_train_good_0465.jpg"", ""mpi_pcb_train_good_0605.jpg"", ""mpi_pcb_train_good_0676.jpg"", ""mpi_pcb_train_good_0781.jpg"", ""mpi_pcb_train_good_0812.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_0937.jpg"", ""mpi_pcb_train_good_1060.jpg"", ""mpi_pcb_train_good_1090.jpg"", ""mpi_pcb_train_good_1287.jpg"", ""mpi_pcb_train_good_1386.jpg"", ""mpi_pcb_train_good_1505.jpg"", ""mpi_pcb_train_good_1553.jpg"", ""mpi_pcb_train_good_1584.jpg""]"
