schema_version,artifact_status,coordinate_space,designator,designator_source,label,center_x_px,center_y_px,x1_px,y1_px,x2_px,y2_px,rotation_deg,rotation_source,footprint,observation_count,frame_count,support_ratio,class_purity,center_mad_px,median_confidence,consensus_status,review_reasons,class_counts_json,frame_ids_json
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,J_AUTO_0001,synthetic_auto,connector,683.572052,349.331133,568.194473,312.000000,796.743652,386.662266,,unknown_axis_aligned_detection,,30,30,1.000000,1.000000,2.105098,0.843127,CONSENSUS,,"{""connector"": 30}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000310.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000713.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,R_AUTO_0001,synthetic_auto,resistor,510.455048,400.988077,483.863754,384.686417,536.263657,417.195099,,unknown_axis_aligned_detection,,30,30,1.000000,1.000000,1.079807,0.579659,CONSENSUS,,"{""resistor"": 30}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000310.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000713.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,C_AUTO_0001,synthetic_auto,capacitor,841.834564,405.183643,811.575562,386.132469,872.674530,424.109158,,unknown_axis_aligned_detection,,22,30,0.733333,0.909091,0.970441,0.339581,NEEDS_REVIEW,low_support,"{""capacitor"": 20, ""led"": 2}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,R_AUTO_0002,synthetic_auto,resistor,510.218658,447.018383,483.993469,431.265652,536.038452,462.564842,,unknown_axis_aligned_detection,,30,30,1.000000,1.000000,1.395521,0.558042,CONSENSUS,,"{""resistor"": 30}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000310.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000713.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,R_AUTO_0003,synthetic_auto,resistor,842.247528,450.004240,816.210754,433.763317,868.366089,466.379692,,unknown_axis_aligned_detection,,30,30,1.000000,1.000000,1.172894,0.555295,CONSENSUS,,"{""resistor"": 30}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000310.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000713.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,C_AUTO_0002,synthetic_auto,capacitor,508.313812,493.648785,479.244476,474.630928,537.434662,512.292099,,unknown_axis_aligned_detection,,30,30,1.000000,1.000000,0.896633,0.423075,CONSENSUS,,"{""capacitor"": 30}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000310.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000713.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,C_AUTO_0003,synthetic_auto,capacitor,841.141113,496.999420,811.854431,481.179176,870.457733,512.554482,,unknown_axis_aligned_detection,,28,30,0.933333,1.000000,0.821149,0.398564,CONSENSUS,,"{""capacitor"": 28}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,U_AUTO_0001,synthetic_auto,ic,281.805835,535.410553,203.080424,416.723381,361.460640,655.160034,,unknown_axis_aligned_detection,,30,30,1.000000,1.000000,2.126451,0.738891,CONSENSUS,,"{""ic"": 30}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000310.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000713.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,R_AUTO_0004,synthetic_auto,resistor,509.079247,539.540424,482.954330,523.430237,535.135574,555.730568,,unknown_axis_aligned_detection,,30,30,1.000000,1.000000,0.865495,0.510323,CONSENSUS,,"{""resistor"": 30}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000310.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000713.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,U_AUTO_0002,synthetic_auto,ic,672.759285,540.287483,567.754532,457.543823,778.263733,622.740372,,unknown_axis_aligned_detection,,30,30,1.000000,1.000000,1.201095,0.732906,CONSENSUS,,"{""ic"": 30}","[""row_000000.jpg"", ""row_000031.jpg"", ""row_000062.jpg"", ""row_000093.jpg"", ""row_000124.jpg"", ""row_000155.jpg"", ""row_000186.jpg"", ""row_000217.jpg"", ""row_000248.jpg"", ""row_000279.jpg"", ""row_000310.jpg"", ""row_000341.jpg"", ""row_000372.jpg"", ""row_000403.jpg"", ""row_000434.jpg"", ""row_000465.jpg"", ""row_000496.jpg"", ""row_000527.jpg"", ""row_000558.jpg"", ""row_000589.jpg"", ""row_000620.jpg"", ""row_000651.jpg"", ""row_000682.jpg"", ""row_000713.jpg"", ""row_000744.jpg"", ""row_000775.jpg"", ""row_000806.jpg"", ""row_000837.jpg"", ""row_000868.jpg"", ""row_000900.jpg""]"
