split,class_id,class_name,instances
train,0,battery,42
train,1,button,56
train,2,buzzer,45
train,3,capacitor,7775
train,4,clock,89
train,5,connector,889
train,6,diode,551
train,7,display,63
train,8,fuse,111
train,9,heatsink,4
train,10,ic,2220
train,11,inductor,213
train,12,led,549
train,13,pads,186
train,14,pins,261
train,15,potentiometer,50
train,16,relay,66
train,17,resistor,7133
train,18,switch,283
train,19,transducer,0
train,20,transformer,2
train,21,transistor,572
val,0,battery,4
val,1,button,11
val,2,buzzer,7
val,3,capacitor,1519
val,4,clock,17
val,5,connector,194
val,6,diode,103
val,7,display,9
val,8,fuse,22
val,9,heatsink,0
val,10,ic,565
val,11,inductor,55
val,12,led,114
val,13,pads,103
val,14,pins,42
val,15,potentiometer,20
val,16,relay,8
val,17,resistor,1614
val,18,switch,48
val,19,transducer,0
val,20,transformer,0
val,21,transistor,111
test,0,battery,8
test,1,button,18
test,2,buzzer,8
test,3,capacitor,1337
test,4,clock,16
test,5,connector,228
test,6,diode,91
test,7,display,14
test,8,fuse,20
test,9,heatsink,0
test,10,ic,514
test,11,inductor,57
test,12,led,113
test,13,pads,43
test,14,pins,14
test,15,potentiometer,12
test,16,relay,10
test,17,resistor,1300
test,18,switch,53
test,19,transducer,4
test,20,transformer,0
test,21,transistor,77
