epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,100.573,2.33525,7.13707,0.03316,0.69146,0.02867,0.03936,0.01911,1.83403,3.61097,0.01278,0.000128142,0.000128142,0.000128142
2,197.19,1.88624,4.47117,0.02522,0.75997,0.05324,0.06916,0.03422,1.7846,2.95436,0.01137,0.000253936,0.000253936,0.000253936
3,294.115,1.79503,3.51687,0.02144,0.66527,0.08091,0.10279,0.04914,1.76806,2.76267,0.01171,0.000377189,0.000377189,0.000377189
4,391.128,1.78809,3.02859,0.02294,0.66857,0.10934,0.12414,0.06193,1.78057,2.51154,0.0119,0.000373565,0.000373565,0.000373565
5,488.394,1.75855,2.76376,0.02213,0.5991,0.12191,0.12939,0.06025,1.79364,2.53422,0.01221,0.000369754,0.000369754,0.000369754
6,582.919,1.74427,2.65154,0.0219,0.52787,0.14024,0.17474,0.07861,1.85288,2.16493,0.01238,0.000365942,0.000365942,0.000365942
7,683.141,1.70702,2.40364,0.01929,0.539,0.16971,0.17624,0.0879,1.75801,2.11044,0.01245,0.000362131,0.000362131,0.000362131
8,782.17,1.70347,2.3844,0.02193,0.45611,0.15417,0.14383,0.06664,1.79817,2.27134,0.01218,0.000358319,0.000358319,0.000358319
9,879.609,1.67424,2.29014,0.02016,0.5834,0.16519,0.1985,0.08815,1.73253,1.94005,0.01125,0.000354508,0.000354508,0.000354508
10,975.935,1.66106,2.2683,0.02038,0.45082,0.17942,0.20467,0.09464,1.77257,2.06877,0.01258,0.000350697,0.000350697,0.000350697
11,1073.98,1.65443,2.13745,0.01869,0.53201,0.18838,0.20732,0.09608,1.79919,1.98199,0.01318,0.000346885,0.000346885,0.000346885
12,1169.67,1.64354,2.05025,0.01964,0.52442,0.2671,0.24464,0.12435,1.77294,1.90336,0.0125,0.000343074,0.000343074,0.000343074
13,1267.98,1.61374,1.97281,0.01752,0.49154,0.19403,0.20728,0.0854,1.79959,2.12789,0.01369,0.000339262,0.000339262,0.000339262
14,1365.67,1.61587,1.98682,0.01971,0.51467,0.25547,0.2498,0.12329,1.68815,1.69961,0.01188,0.00033545,0.00033545,0.00033545
15,1462.91,1.59735,1.81714,0.01779,0.59444,0.26359,0.28227,0.12844,1.7796,1.72114,0.0132,0.000331639,0.000331639,0.000331639
16,1558.73,1.59618,1.77733,0.01784,0.53891,0.29097,0.30086,0.1338,1.84223,1.71521,0.01428,0.000327827,0.000327827,0.000327827
17,1654.95,1.60137,1.82202,0.01674,0.50656,0.24952,0.28233,0.12781,1.77769,1.73331,0.01418,0.000324016,0.000324016,0.000324016
18,1752.09,1.5958,1.76403,0.01754,0.44092,0.37434,0.32459,0.15104,1.81234,1.61256,0.0138,0.000320204,0.000320204,0.000320204
19,1847.04,1.57616,1.7021,0.01797,0.51721,0.31238,0.32607,0.15177,1.7782,1.6266,0.01294,0.000316393,0.000316393,0.000316393
20,1943.3,1.54868,1.68848,0.01723,0.59343,0.31826,0.36517,0.15838,1.78482,1.57476,0.01233,0.000312581,0.000312581,0.000312581
21,2038.09,1.56442,1.63948,0.01834,0.49101,0.31918,0.3151,0.12927,1.91873,1.60855,0.01314,0.00030877,0.00030877,0.00030877
22,2131.26,1.58393,1.64222,0.01789,0.61816,0.38115,0.38185,0.20555,1.6334,1.51201,0.01096,0.000304958,0.000304958,0.000304958
23,2225.45,1.5497,1.62747,0.01682,0.51902,0.36714,0.37044,0.1917,1.73839,1.61336,0.01212,0.000301147,0.000301147,0.000301147
24,2319.25,1.51653,1.55511,0.01589,0.68604,0.40128,0.44461,0.21492,1.76539,1.39008,0.01263,0.000297335,0.000297335,0.000297335
25,2412.66,1.55558,1.56868,0.01912,0.48319,0.3946,0.36445,0.15425,1.82694,1.53214,0.01357,0.000293524,0.000293524,0.000293524
26,2506.45,1.51518,1.53355,0.01735,0.52128,0.40045,0.39809,0.17382,1.85698,1.53711,0.01448,0.000289712,0.000289712,0.000289712
27,2599.05,1.49625,1.49461,0.01651,0.51301,0.33415,0.32962,0.15854,1.73094,1.74288,0.0132,0.000285901,0.000285901,0.000285901
28,2690.54,1.49174,1.43592,0.0163,0.56158,0.38665,0.41624,0.1986,1.69287,1.45952,0.01219,0.000282089,0.000282089,0.000282089
29,2785.4,1.48632,1.42207,0.01649,0.5029,0.38139,0.3597,0.1633,1.89137,1.52495,0.01442,0.000278278,0.000278278,0.000278278
30,2881.47,1.47226,1.36238,0.01577,0.53625,0.40506,0.41282,0.18871,1.82808,1.4636,0.01394,0.000274466,0.000274466,0.000274466
31,2975.24,1.46623,1.34768,0.01607,0.57909,0.33658,0.36848,0.17146,1.86344,1.50303,0.01563,0.000270655,0.000270655,0.000270655
32,3069.5,1.46374,1.35107,0.01644,0.53769,0.4076,0.40222,0.17413,1.83125,1.40869,0.01318,0.000266843,0.000266843,0.000266843
33,3162.16,1.48973,1.35471,0.01572,0.55812,0.36907,0.41194,0.1847,1.85534,1.52487,0.01322,0.000263032,0.000263032,0.000263032
34,3253.48,1.46389,1.26833,0.01512,0.4992,0.42049,0.37949,0.18416,1.77592,1.46128,0.01249,0.00025922,0.00025922,0.00025922
35,3344.87,1.43172,1.28827,0.01502,0.51075,0.42253,0.37483,0.18579,1.7735,1.46657,0.01364,0.000255409,0.000255409,0.000255409
